Title,Top ten European-Union countries of domicile (excluding the UK) in 2016/17 for HE student enrolments,,,
Location,UK,,,
Time period,2012/13 to 2016/17,,,
Data source,HESA,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10.csv,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,
Code page,ISO 8859-1,,,
Last updated,Jan-18,,,
,,,,
Country of domicile,Country of HE provider,First year marker,Academic year,Student count
Canary Islands,All,Other years,2016/17,70.000
Canary Islands,All,All,2015/16,95.000
Canary Islands,All,First year,2015/16,40.000
Canary Islands,All,Other years,2015/16,55.000
Canary Islands,All,All,2014/15,80.000
Canary Islands,All,First year,2014/15,35.000
Canary Islands,All,Other years,2014/15,45.000
Canary Islands,All,All,2013/14,65.000
Canary Islands,All,First year,2013/14,20.000
Canary Islands,All,Other years,2013/14,50.000
Canary Islands,All,All,2012/13,65.000
Canary Islands,All,First year,2012/13,30.000
Canary Islands,All,Other years,2012/13,40.000
Canary Islands,England,First year,2016/17,40.000
Canary Islands,England,Other years,2016/17,55.000
Canary Islands,England,All,2016/17,100.000
Canary Islands,England,First year,2015/16,30.000
Canary Islands,England,Other years,2015/16,50.000
Canary Islands,England,All,2015/16,80.000
Canary Islands,England,First year,2014/15,30.000
Canary Islands,England,Other years,2014/15,40.000
Canary Islands,England,All,2014/15,70.000
Canary Islands,England,First year,2013/14,20.000
Canary Islands,England,Other years,2013/14,40.000
Canary Islands,England,All,2013/14,60.000
Canary Islands,England,First year,2012/13,25.000
Canary Islands,England,Other years,2012/13,35.000
Canary Islands,England,All,2012/13,60.000
Canary Islands,Northern Ireland,First year,2016/17,0.000
Canary Islands,Northern Ireland,Other years,2016/17,0.000
Canary Islands,Northern Ireland,All,2016/17,0.000
Canary Islands,Northern Ireland,First year,2015/16,0.000
Canary Islands,Northern Ireland,Other years,2015/16,0.000
Canary Islands,Northern Ireland,All,2015/16,0.000
Canary Islands,Northern Ireland,First year,2014/15,0.000
Canary Islands,Northern Ireland,Other years,2014/15,0.000
Canary Islands,Northern Ireland,All,2014/15,0.000
Canary Islands,Northern Ireland,First year,2013/14,0.000
Canary Islands,Northern Ireland,Other years,2013/14,0.000
Canary Islands,Northern Ireland,All,2013/14,0.000
Canary Islands,Northern Ireland,First year,2012/13,0.000
Canary Islands,Northern Ireland,Other years,2012/13,0.000
Canary Islands,Northern Ireland,All,2012/13,0.000
Canary Islands,Scotland,First year,2016/17,5.000
Canary Islands,Scotland,Other years,2016/17,5.000
Canary Islands,Scotland,All,2016/17,10.000
Canary Islands,Scotland,First year,2015/16,5.000
Canary Islands,Scotland,Other years,2015/16,5.000
Canary Islands,Scotland,All,2015/16,5.000
Canary Islands,Scotland,First year,2014/15,0.000
Canary Islands,Scotland,Other years,2014/15,0.000
Canary Islands,Scotland,All,2014/15,5.000
Canary Islands,Scotland,First year,2013/14,0.000
Canary Islands,Scotland,Other years,2013/14,5.000
Canary Islands,Scotland,All,2013/14,5.000
Canary Islands,Scotland,First year,2012/13,5.000
Canary Islands,Scotland,Other years,2012/13,0.000
Canary Islands,Scotland,All,2012/13,5.000
Canary Islands,Wales,First year,2016/17,0.000
Canary Islands,Wales,Other years,2016/17,5.000
Canary Islands,Wales,All,2016/17,5.000
Canary Islands,Wales,First year,2015/16,5.000
Canary Islands,Wales,Other years,2015/16,0.000
Canary Islands,Wales,All,2015/16,5.000
Canary Islands,Wales,First year,2014/15,0.000
Canary Islands,Wales,Other years,2014/15,5.000
Canary Islands,Wales,All,2014/15,5.000
Canary Islands,Wales,First year,2013/14,0.000
Canary Islands,Wales,Other years,2013/14,5.000
Canary Islands,Wales,All,2013/14,5.000
Canary Islands,Wales,First year,2012/13,0.000
Canary Islands,Wales,Other years,2012/13,0.000
Canary Islands,Wales,All,2012/13,5.000
Croatia,All,All,2016/17,770.000
Croatia,All,First year,2016/17,405.000
Croatia,All,Other years,2016/17,365.000
Croatia,All,All,2015/16,540.000
Croatia,All,First year,2015/16,315.000
Croatia,All,Other years,2015/16,225.000
Croatia,All,All,2014/15,355.000
Croatia,All,First year,2014/15,210.000
Croatia,All,Other years,2014/15,145.000
Croatia,All,All,2013/14,255.000
Croatia,All,First year,2013/14,145.000
Croatia,All,Other years,2013/14,105.000
Croatia,All,All,2012/13,0.000
Croatia,All,First year,2012/13,0.000
Croatia,All,Other years,2012/13,0.000
Croatia,England,First year,2016/17,345.000
Croatia,England,Other years,2016/17,300.000
Croatia,England,All,2016/17,645.000
Croatia,England,First year,2015/16,260.000
Croatia,England,Other years,2015/16,175.000
Croatia,England,All,2015/16,435.000
Croatia,England,First year,2014/15,170.000
Croatia,England,Other years,2014/15,110.000
