Title,Top ten European-Union countries of domicile (excluding the UK) in 2016/17 for HE student enrolments,,,
Location,UK,,,
Time period,2012/13 to 2016/17,,,
Data source,HESA,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10.csv,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,
Code page,ISO 8859-1,,,
Last updated,Jan-18,,,
,,,,
Country of domicile,Country of HE provider,First year marker,Academic year,Student count
Gibraltar,England,All,2016/17,780.000
Gibraltar,England,First year,2015/16,310.000
Gibraltar,England,Other years,2015/16,430.000
Gibraltar,England,All,2015/16,740.000
Gibraltar,England,First year,2014/15,275.000
Gibraltar,England,Other years,2014/15,430.000
Gibraltar,England,All,2014/15,705.000
Gibraltar,England,First year,2013/14,305.000
Gibraltar,England,Other years,2013/14,405.000
Gibraltar,England,All,2013/14,710.000
Gibraltar,England,First year,2012/13,250.000
Gibraltar,England,Other years,2012/13,400.000
Gibraltar,England,All,2012/13,650.000
Gibraltar,Northern Ireland,First year,2016/17,0.000
Gibraltar,Northern Ireland,Other years,2016/17,0.000
Gibraltar,Northern Ireland,All,2016/17,0.000
Gibraltar,Northern Ireland,First year,2015/16,0.000
Gibraltar,Northern Ireland,Other years,2015/16,0.000
Gibraltar,Northern Ireland,All,2015/16,0.000
Gibraltar,Northern Ireland,First year,2014/15,0.000
Gibraltar,Northern Ireland,Other years,2014/15,0.000
Gibraltar,Northern Ireland,All,2014/15,0.000
Gibraltar,Northern Ireland,First year,2013/14,0.000
Gibraltar,Northern Ireland,Other years,2013/14,0.000
Gibraltar,Northern Ireland,All,2013/14,0.000
Gibraltar,Northern Ireland,First year,2012/13,0.000
Gibraltar,Northern Ireland,Other years,2012/13,0.000
Gibraltar,Northern Ireland,All,2012/13,0.000
Gibraltar,Scotland,First year,2016/17,10.000
Gibraltar,Scotland,Other years,2016/17,10.000
Gibraltar,Scotland,All,2016/17,20.000
Gibraltar,Scotland,First year,2015/16,10.000
Gibraltar,Scotland,Other years,2015/16,10.000
Gibraltar,Scotland,All,2015/16,20.000
Gibraltar,Scotland,First year,2014/15,5.000
Gibraltar,Scotland,Other years,2014/15,10.000
Gibraltar,Scotland,All,2014/15,15.000
Gibraltar,Scotland,First year,2013/14,5.000
Gibraltar,Scotland,Other years,2013/14,10.000
Gibraltar,Scotland,All,2013/14,15.000
Gibraltar,Scotland,First year,2012/13,5.000
Gibraltar,Scotland,Other years,2012/13,10.000
Gibraltar,Scotland,All,2012/13,20.000
Gibraltar,Wales,First year,2016/17,45.000
Gibraltar,Wales,Other years,2016/17,70.000
Gibraltar,Wales,All,2016/17,115.000
Gibraltar,Wales,First year,2015/16,45.000
Gibraltar,Wales,Other years,2015/16,55.000
Gibraltar,Wales,All,2015/16,100.000
Gibraltar,Wales,First year,2014/15,40.000
Gibraltar,Wales,Other years,2014/15,40.000
Gibraltar,Wales,All,2014/15,80.000
Gibraltar,Wales,First year,2013/14,35.000
Gibraltar,Wales,Other years,2013/14,30.000
Gibraltar,Wales,All,2013/14,65.000
Gibraltar,Wales,First year,2012/13,25.000
Gibraltar,Wales,Other years,2012/13,30.000
Gibraltar,Wales,All,2012/13,55.000
Greece,All,All,2016/17,10045.000
Greece,All,First year,2016/17,5075.000
Greece,All,Other years,2016/17,4970.000
Greece,All,All,2015/16,9790.000
Greece,All,First year,2015/16,4760.000
Greece,All,Other years,2015/16,5030.000
Greece,All,All,2014/15,10130.000
Greece,All,First year,2014/15,4920.000
Greece,All,Other years,2014/15,5210.000
Greece,All,All,2013/14,10670.000
Greece,All,First year,2013/14,5200.000
Greece,All,Other years,2013/14,5470.000
Greece,All,All,2012/13,10890.000
Greece,All,First year,2012/13,5290.000
Greece,All,Other years,2012/13,5600.000
Greece,England,First year,2016/17,4020.000
Greece,England,Other years,2016/17,3905.000
Greece,England,All,2016/17,7925.000
Greece,England,First year,2015/16,3820.000
Greece,England,Other years,2015/16,3920.000
Greece,England,All,2015/16,7740.000
Greece,England,First year,2014/15,3830.000
Greece,England,Other years,2014/15,4160.000
Greece,England,All,2014/15,7990.000
Greece,England,First year,2013/14,4080.000
Greece,England,Other years,2013/14,4550.000
Greece,England,All,2013/14,8635.000
Greece,England,First year,2012/13,4215.000
Greece,England,Other years,2012/13,4805.000
Greece,England,All,2012/13,9020.000
Greece,Northern Ireland,First year,2016/17,20.000
Greece,Northern Ireland,Other years,2016/17,20.000
Greece,Northern Ireland,All,2016/17,40.000
Greece,Northern Ireland,First year,2015/16,10.000
Greece,Northern Ireland,Other years,2015/16,15.000
Greece,Northern Ireland,All,2015/16,25.000
Greece,Northern Ireland,First year,2014/15,15.000
Greece,Northern Ireland,Other years,2014/15,15.000
Greece,Northern Ireland,All,2014/15,30.000
Greece,Northern Ireland,First year,2013/14,10.000
Greece,Northern Ireland,Other years,2013/14,10.000
Greece,Northern Ireland,All,2013/14,20.000
Greece,Northern Ireland,First year,2012/13,5.000
Greece,Northern Ireland,Other years,2012/13,15.000
Greece,Northern Ireland,All,2012/13,20.000
Greece,Scotland,First year,2016/17,795.000
Greece,Scotland,Other years,2016/17,745.000
Greece,Scotland,All,2016/17,1540.000
Greece,Scotland,First year,2015/16,695.000
Greece,Scotland,Other years,2015/16,800.000
Greece,Scotland,All,2015/16,1495.000
Greece,Scotland,First year,2014/15,795.000
Greece,Scotland,Other years,2014/15,785.000
Greece,Scotland,All,2014/15,1580.000
Greece,Scotland,First year,2013/14,830.000
Greece,Scotland,Other years,2013/14,670.000
Greece,Scotland,All,2013/14,1500.000
Greece,Scotland,First year,2012/13,830.000
Greece,Scotland,Other years,2012/13,575.000
Greece,Scotland,All,2012/13,1400.000
Greece,Wales,First year,2016/17,240.000
Greece,Wales,Other years,2016/17,300.000
Greece,Wales,All,2016/17,540.000
Greece,Wales,First year,2015/16,235.000
Greece,Wales,Other years,2015/16,295.000
Greece,Wales,All,2015/16,530.000
Greece,Wales,First year,2014/15,280.000
Greece,Wales,Other years,2014/15,250.000
Greece,Wales,All,2014/15,530.000
Greece,Wales,First year,2013/14,280.000
Greece,Wales,Other years,2013/14,240.000
Greece,Wales,All,2013/14,515.000
Greece,Wales,First year,2012/13,245.000
Greece,Wales,Other years,2012/13,205.000
Greece,Wales,All,2012/13,450.000
Guadeloupe,All,All,2016/17,5.000
Guadeloupe,All,First year,2016/17,5.000
Guadeloupe,All,Other years,2016/17,0.000
Guadeloupe,All,All,2015/16,0.000
Guadeloupe,All,First year,2015/16,0.000
Guadeloupe,All,Other years,2015/16,0.000
Guadeloupe,All,All,2014/15,5.000
Guadeloupe,All,First year,2014/15,5.000
Guadeloupe,All,Other years,2014/15,0.000
Guadeloupe,All,All,2013/14,5.000
Guadeloupe,All,First year,2013/14,0.000
Guadeloupe,All,Other years,2013/14,5.000
Guadeloupe,All,All,2012/13,5.000
Guadeloupe,All,First year,2012/13,5.000
Guadeloupe,All,Other years,2012/13,5.000
Guadeloupe,England,First year,2016/17,5.000
Guadeloupe,England,Other years,2016/17,0.000
Guadeloupe,England,All,2016/17,5.000
Guadeloupe,England,First year,2015/16,0.000
Guadeloupe,England,Other years,2015/16,0.000
Guadeloupe,England,All,2015/16,0.000
Guadeloupe,England,First year,2014/15,5.000
Guadeloupe,England,Other years,2014/15,0.000
Guadeloupe,England,All,2014/15,5.000
Guadeloupe,England,First year,2013/14,0.000
Guadeloupe,England,Other years,2013/14,5.000
Guadeloupe,England,All,2013/14,5.000
Guadeloupe,England,First year,2012/13,5.000
Guadeloupe,England,Other years,2012/13,5.000
Guadeloupe,England,All,2012/13,5.000
Guadeloupe,Northern Ireland,First year,2016/17,0.000
Guadeloupe,Northern Ireland,Other years,2016/17,0.000
Guadeloupe,Northern Ireland,All,2016/17,0.000
Guadeloupe,Northern Ireland,First year,2015/16,0.000
Guadeloupe,Northern Ireland,Other years,2015/16,0.000
Guadeloupe,Northern Ireland,All,2015/16,0.000
Guadeloupe,Northern Ireland,First year,2014/15,0.000
Guadeloupe,Northern Ireland,Other years,2014/15,0.000
Guadeloupe,Northern Ireland,All,2014/15,0.000
Guadeloupe,Northern Ireland,First year,2013/14,0.000
Guadeloupe,Northern Ireland,Other years,2013/14,0.000
Guadeloupe,Northern Ireland,All,2013/14,0.000
Guadeloupe,Northern Ireland,First year,2012/13,0.000
Guadeloupe,Northern Ireland,Other years,2012/13,0.000
Guadeloupe,Northern Ireland,All,2012/13,0.000
Guadeloupe,Scotland,First year,2016/17,0.000
Guadeloupe,Scotland,Other years,2016/17,0.000
Guadeloupe,Scotland,All,2016/17,0.000
Guadeloupe,Scotland,First year,2015/16,0.000
Guadeloupe,Scotland,Other years,2015/16,0.000
Guadeloupe,Scotland,All,2015/16,0.000
Guadeloupe,Scotland,First year,2014/15,0.000
Guadeloupe,Scotland,Other years,2014/15,0.000
Guadeloupe,Scotland,All,2014/15,0.000
Guadeloupe,Scotland,First year,2013/14,0.000
Guadeloupe,Scotland,Other years,2013/14,0.000
Guadeloupe,Scotland,All,2013/14,0.000
Guadeloupe,Scotland,First year,2012/13,0.000
Guadeloupe,Scotland,Other years,2012/13,0.000
Guadeloupe,Scotland,All,2012/13,0.000
Guadeloupe,Wales,First year,2016/17,0.000
Guadeloupe,Wales,Other years,2016/17,0.000
Guadeloupe,Wales,All,2016/17,0.000
Guadeloupe,Wales,First year,2015/16,0.000
Guadeloupe,Wales,Other years,2015/16,0.000
Guadeloupe,Wales,All,2015/16,0.000
Guadeloupe,Wales,First year,2014/15,0.000
Guadeloupe,Wales,Other years,2014/15,0.000
Guadeloupe,Wales,All,2014/15,0.000
Guadeloupe,Wales,First year,2013/14,0.000
Guadeloupe,Wales,Other years,2013/14,0.000
Guadeloupe,Wales,All,2013/14,0.000
Guadeloupe,Wales,First year,2012/13,0.000
Guadeloupe,Wales,Other years,2012/13,0.000
Guadeloupe,Wales,All,2012/13,0.000
Hungary,All,All,2016/17,2110.000
Hungary,All,First year,2016/17,860.000
Hungary,All,Other years,2016/17,1250.000
Hungary,All,All,2015/16,1910.000
Hungary,All,First year,2015/16,735.000
Hungary,All,Other years,2015/16,1175.000
Hungary,All,All,2014/15,1685.000
Hungary,All,First year,2014/15,755.000
Hungary,All,Other years,2014/15,930.000
Hungary,All,All,2013/14,1465.000
Hungary,All,First year,2013/14,730.000
Hungary,All,Other years,2013/14,740.000
Hungary,All,All,2012/13,1230.000
Hungary,All,First year,2012/13,590.000
Hungary,All,Other years,2012/13,640.000
Hungary,England,First year,2016/17,655.000
Hungary,England,Other years,2016/17,870.000
Hungary,England,All,2016/17,1525.000
Hungary,England,First year,2015/16,560.000
Hungary,England,Other years,2015/16,785.000
Hungary,England,All,2015/16,1345.000
Hungary,England,First year,2014/15,570.000
Hungary,England,Other years,2014/15,610.000
Hungary,England,All,2014/15,1180.000
Hungary,England,First year,2013/14,525.000
Hungary,England,Other years,2013/14,510.000
Hungary,England,All,2013/14,1030.000
Hungary,England,First year,2012/13,420.000
Hungary,England,Other years,2012/13,450.000
Hungary,England,All,2012/13,870.000
Hungary,Northern Ireland,First year,2016/17,0.000
Hungary,Northern Ireland,Other years,2016/17,0.000
Hungary,Northern Ireland,All,2016/17,0.000
Hungary,Northern Ireland,First year,2015/16,0.000
Hungary,Northern Ireland,Other years,2015/16,0.000
Hungary,Northern Ireland,All,2015/16,5.000
Hungary,Northern Ireland,First year,2014/15,0.000
Hungary,Northern Ireland,Other years,2014/15,0.000
Hungary,Northern Ireland,All,2014/15,5.000
Hungary,Northern Ireland,First year,2013/14,0.000
Hungary,Northern Ireland,Other years,2013/14,0.000
Hungary,Northern Ireland,All,2013/14,0.000
Hungary,Northern Ireland,First year,2012/13,0.000
Hungary,Northern Ireland,Other years,2012/13,0.000
Hungary,Northern Ireland,All,2012/13,0.000
Hungary,Scotland,First year,2016/17,175.000
Hungary,Scotland,Other years,2016/17,345.000
Hungary,Scotland,All,2016/17,515.000
Hungary,Scotland,First year,2015/16,155.000
Hungary,Scotland,Other years,2015/16,360.000
Hungary,Scotland,All,2015/16,515.000
Hungary,Scotland,First year,2014/15,165.000
Hungary,Scotland,Other years,2014/15,295.000
Hungary,Scotland,All,2014/15,460.000
Hungary,Scotland,First year,2013/14,185.000
Hungary,Scotland,Other years,2013/14,215.000
Hungary,Scotland,All,2013/14,400.000
Hungary,Scotland,First year,2012/13,155.000
Hungary,Scotland,Other years,2012/13,160.000
Hungary,Scotland,All,2012/13,315.000
Hungary,Wales,First year,2016/17,35.000
Hungary,Wales,Other years,2016/17,35.000
Hungary,Wales,All,2016/17,65.000
Hungary,Wales,First year,2015/16,15.000
Hungary,Wales,Other years,2015/16,25.000
Hungary,Wales,All,2015/16,45.000
Hungary,Wales,First year,2014/15,20.000
Hungary,Wales,Other years,2014/15,20.000
Hungary,Wales,All,2014/15,45.000
Hungary,Wales,First year,2013/14,15.000
Hungary,Wales,Other years,2013/14,20.000
Hungary,Wales,All,2013/14,35.000
Hungary,Wales,First year,2012/13,15.000
Hungary,Wales,Other years,2012/13,25.000
Hungary,Wales,All,2012/13,45.000
Ireland,All,All,2016/17,10070.000
Ireland,All,First year,2016/17,4410.000
Ireland,All,Other years,2016/17,5660.000
Ireland,All,All,2015/16,10245.000
Ireland,All,First year,2015/16,4450.000
Ireland,All,Other years,2015/16,5790.000
Ireland,All,All,2014/15,10905.000
Ireland,All,First year,2014/15,4840.000
Ireland,All,Other years,2014/15,6065.000
Ireland,All,All,2013/14,11490.000
Ireland,All,First year,2013/14,5060.000
Ireland,All,Other years,2013/14,6430.000
Ireland,All,All,2012/13,12610.000
Ireland,All,First year,2012/13,5255.000
Ireland,All,Other years,2012/13,7355.000
Ireland,England,First year,2016/17,2540.000
Ireland,England,Other years,2016/17,3060.000
Ireland,England,All,2016/17,5600.000
Ireland,England,First year,2015/16,2550.000
Ireland,England,Other years,2015/16,3075.000
Ireland,England,All,2015/16,5630.000
Ireland,England,First year,2014/15,2670.000
Ireland,England,Other years,2014/15,3200.000
Ireland,England,All,2014/15,5875.000
Ireland,England,First year,2013/14,2730.000
Ireland,England,Other years,2013/14,3465.000
Ireland,England,All,2013/14,6200.000
Ireland,England,First year,2012/13,2745.000
Ireland,England,Other years,2012/13,3950.000
Ireland,England,All,2012/13,6695.000
Ireland,Northern Ireland,First year,2016/17,860.000
Ireland,Northern Ireland,Other years,2016/17,1240.000
Ireland,Northern Ireland,All,2016/17,2095.000
Ireland,Northern Ireland,First year,2015/16,890.000
Ireland,Northern Ireland,Other years,2015/16,1305.000
Ireland,Northern Ireland,All,2015/16,2195.000
Ireland,Northern Ireland,First year,2014/15,1025.000
Ireland,Northern Ireland,Other years,2014/15,1320.000
Ireland,Northern Ireland,All,2014/15,2345.000
Ireland,Northern Ireland,First year,2013/14,1075.000
Ireland,Northern Ireland,Other years,2013/14,1345.000
Ireland,Northern Ireland,All,2013/14,2420.000
Ireland,Northern Ireland,First year,2012/13,1315.000
Ireland,Northern Ireland,Other years,2012/13,1520.000
Ireland,Northern Ireland,All,2012/13,2835.000
Ireland,Scotland,First year,2016/17,795.000
Ireland,Scotland,Other years,2016/17,1085.000
Ireland,Scotland,All,2016/17,1880.000
Ireland,Scotland,First year,2015/16,775.000
Ireland,Scotland,Other years,2015/16,1110.000
Ireland,Scotland,All,2015/16,1885.000
Ireland,Scotland,First year,2014/15,865.000
Ireland,Scotland,Other years,2014/15,1245.000
Ireland,Scotland,All,2014/15,2110.000
Ireland,Scotland,First year,2013/14,945.000
Ireland,Scotland,Other years,2013/14,1280.000
Ireland,Scotland,All,2013/14,2225.000
Ireland,Scotland,First year,2012/13,885.000
Ireland,Scotland,Other years,2012/13,1455.000
Ireland,Scotland,All,2012/13,2340.000
Ireland,Wales,First year,2016/17,215.000
Ireland,Wales,Other years,2016/17,275.000
Ireland,Wales,All,2016/17,490.000
Ireland,Wales,First year,2015/16,235.000
Ireland,Wales,Other years,2015/16,295.000
Ireland,Wales,All,2015/16,535.000
Ireland,Wales,First year,2014/15,275.000
Ireland,Wales,Other years,2014/15,300.000
Ireland,Wales,All,2014/15,575.000
Ireland,Wales,First year,2013/14,310.000
Ireland,Wales,Other years,2013/14,335.000
Ireland,Wales,All,2013/14,645.000
Ireland,Wales,First year,2012/13,310.000
Ireland,Wales,Other years,2012/13,430.000
Ireland,Wales,All,2012/13,740.000
Italy,All,All,2016/17,13455.000
Italy,All,First year,2016/17,6360.000
Italy,All,Other years,2016/17,7095.000
Italy,All,All,2015/16,12135.000
Italy,All,First year,2015/16,6055.000
Italy,All,Other years,2015/16,6080.000
Italy,All,All,2014/15,10525.000
Italy,All,First year,2014/15,5265.000
Italy,All,Other years,2014/15,5265.000
Italy,All,All,2013/14,9550.000
Italy,All,First year,2013/14,4850.000
Italy,All,Other years,2013/14,4695.000
Italy,All,All,2012/13,8310.000
Italy,All,First year,2012/13,4060.000
Italy,All,Other years,2012/13,4255.000
Italy,England,First year,2016/17,5360.000
Italy,England,Other years,2016/17,5835.000
Italy,England,All,2016/17,11190.000
Italy,England,First year,2015/16,5080.000
Italy,England,Other years,2015/16,5050.000
Italy,England,All,2015/16,10130.000
Italy,England,First year,2014/15,4420.000
Italy,England,Other years,2014/15,4460.000
Italy,England,All,2014/15,8880.000
Italy,England,First year,2013/14,4145.000
Italy,England,Other years,2013/14,4080.000
Italy,England,All,2013/14,8225.000
Italy,England,First year,2012/13,3540.000
Italy,England,Other years,2012/13,3720.000
Italy,England,All,2012/13,7260.000
Italy,Northern Ireland,First year,2016/17,15.000
Italy,Northern Ireland,Other years,2016/17,30.000
Italy,Northern Ireland,All,2016/17,45.000
Italy,Northern Ireland,First year,2015/16,20.000
Italy,Northern Ireland,Other years,2015/16,25.000
Italy,Northern Ireland,All,2015/16,40.000
Italy,Northern Ireland,First year,2014/15,10.000
Italy,Northern Ireland,Other years,2014/15,20.000
Italy,Northern Ireland,All,2014/15,30.000
Italy,Northern Ireland,First year,2013/14,20.000
Italy,Northern Ireland,Other years,2013/14,15.000
Italy,Northern Ireland,All,2013/14,30.000
Italy,Northern Ireland,First year,2012/13,5.000
Italy,Northern Ireland,Other years,2012/13,10.000
Italy,Northern Ireland,All,2012/13,15.000
Italy,Scotland,First year,2016/17,815.000
Italy,Scotland,Other years,2016/17,1015.000
Italy,Scotland,All,2016/17,1830.000
Italy,Scotland,First year,2015/16,805.000
Italy,Scotland,Other years,2015/16,830.000
Italy,Scotland,All,2015/16,1635.000
Italy,Scotland,First year,2014/15,680.000
Italy,Scotland,Other years,2014/15,640.000
Italy,Scotland,All,2014/15,1325.000
Italy,Scotland,First year,2013/14,580.000
Italy,Scotland,Other years,2013/14,480.000
Italy,Scotland,All,2013/14,1060.000
Italy,Scotland,First year,2012/13,415.000
Italy,Scotland,Other years,2012/13,400.000
Italy,Scotland,All,2012/13,815.000
Italy,Wales,First year,2016/17,170.000
Italy,Wales,Other years,2016/17,215.000
Italy,Wales,All,2016/17,390.000
Italy,Wales,First year,2015/16,150.000
Italy,Wales,Other years,2015/16,180.000
Italy,Wales,All,2015/16,330.000
Italy,Wales,First year,2014/15,150.000
Italy,Wales,Other years,2014/15,145.000
Italy,Wales,All,2014/15,295.000
Italy,Wales,First year,2013/14,110.000
Italy,Wales,Other years,2013/14,125.000
Italy,Wales,All,2013/14,230.000
Italy,Wales,First year,2012/13,100.000
Italy,Wales,Other years,2012/13,120.000
Italy,Wales,All,2012/13,220.000
Latvia,All,All,2016/17,1335.000
Latvia,All,First year,2016/17,510.000
Latvia,All,Other years,2016/17,820.000
Latvia,All,All,2015/16,1375.000
Latvia,All,First year,2015/16,475.000
Latvia,All,Other years,2015/16,900.000
Latvia,All,All,2014/15,1530.000
Latvia,All,First year,2014/15,455.000
Latvia,All,Other years,2014/15,1075.000
Latvia,All,All,2013/14,1840.000
Latvia,All,First year,2013/14,505.000
Latvia,All,Other years,2013/14,1335.000
Latvia,All,All,2012/13,2085.000
Latvia,All,First year,2012/13,570.000
Latvia,All,Other years,2012/13,1515.000
Latvia,England,First year,2016/17,420.000
Latvia,England,Other years,2016/17,655.000
Latvia,England,All,2016/17,1080.000
Latvia,England,First year,2015/16,400.000
Latvia,England,Other years,2015/16,675.000
Latvia,England,All,2015/16,1075.000
Latvia,England,First year,2014/15,375.000
Latvia,England,Other years,2014/15,770.000
Latvia,England,All,2014/15,1145.000
Latvia,England,First year,2013/14,420.000
Latvia,England,Other years,2013/14,985.000
Latvia,England,All,2013/14,1400.000
Latvia,England,First year,2012/13,430.000
Latvia,England,Other years,2012/13,1175.000
Latvia,England,All,2012/13,1605.000
Latvia,Northern Ireland,First year,2016/17,0.000
Latvia,Northern Ireland,Other years,2016/17,0.000
Latvia,Northern Ireland,All,2016/17,0.000
Latvia,Northern Ireland,First year,2015/16,0.000
Latvia,Northern Ireland,Other years,2015/16,0.000
Latvia,Northern Ireland,All,2015/16,5.000
Latvia,Northern Ireland,First year,2014/15,5.000
Latvia,Northern Ireland,Other years,2014/15,0.000
Latvia,Northern Ireland,All,2014/15,5.000
Latvia,Northern Ireland,First year,2013/14,0.000
Latvia,Northern Ireland,Other years,2013/14,0.000
Latvia,Northern Ireland,All,2013/14,5.000
Latvia,Northern Ireland,First year,2012/13,0.000
Latvia,Northern Ireland,Other years,2012/13,0.000
Latvia,Northern Ireland,All,2012/13,0.000
Latvia,Scotland,First year,2016/17,75.000
Latvia,Scotland,Other years,2016/17,140.000
Latvia,Scotland,All,2016/17,215.000
Latvia,Scotland,First year,2015/16,60.000
Latvia,Scotland,Other years,2015/16,195.000
Latvia,Scotland,All,2015/16,255.000
Latvia,Scotland,First year,2014/15,55.000
Latvia,Scotland,Other years,2014/15,285.000
Latvia,Scotland,All,2014/15,340.000
Latvia,Scotland,First year,2013/14,75.000
Latvia,Scotland,Other years,2013/14,325.000
Latvia,Scotland,All,2013/14,400.000
Latvia,Scotland,First year,2012/13,130.000
Latvia,Scotland,Other years,2012/13,300.000
Latvia,Scotland,All,2012/13,425.000
Latvia,Wales,First year,2016/17,15.000
Latvia,Wales,Other years,2016/17,25.000
Latvia,Wales,All,2016/17,40.000
Latvia,Wales,First year,2015/16,15.000
Latvia,Wales,Other years,2015/16,25.000
Latvia,Wales,All,2015/16,40.000
Latvia,Wales,First year,2014/15,20.000
Latvia,Wales,Other years,2014/15,20.000
Latvia,Wales,All,2014/15,40.000
Latvia,Wales,First year,2013/14,15.000
Latvia,Wales,Other years,2013/14,25.000
Latvia,Wales,All,2013/14,40.000
Latvia,Wales,First year,2012/13,10.000
Latvia,Wales,Other years,2012/13,40.000
Latvia,Wales,All,2012/13,50.000
Lithuania,All,All,2016/17,3925.000
Lithuania,All,First year,2016/17,1460.000
Lithuania,All,Other years,2016/17,2460.000
Lithuania,All,All,2015/16,3920.000
Lithuania,All,First year,2015/16,1335.000
Lithuania,All,Other years,2015/16,2590.000
Lithuania,All,All,2014/15,4340.000
Lithuania,All,First year,2014/15,1365.000
Lithuania,All,Other years,2014/15,2975.000
Lithuania,All,All,2013/14,4865.000
Lithuania,All,First year,2013/14,1375.000
Lithuania,All,Other years,2013/14,3490.000
Lithuania,All,All,2012/13,5050.000
Lithuania,All,First year,2012/13,1590.000
Lithuania,All,Other years,2012/13,3460.000
Lithuania,England,First year,2016/17,1270.000
Lithuania,England,Other years,2016/17,1950.000
Lithuania,England,All,2016/17,3220.000
Lithuania,England,First year,2015/16,1135.000
Lithuania,England,Other years,2015/16,1910.000
Lithuania,England,All,2015/16,3040.000
Lithuania,England,First year,2014/15,1140.000
Lithuania,England,Other years,2014/15,2010.000
Lithuania,England,All,2014/15,3150.000
Lithuania,England,First year,2013/14,1110.000
Lithuania,England,Other years,2013/14,2445.000
Lithuania,England,All,2013/14,3560.000
Lithuania,England,First year,2012/13,1215.000
Lithuania,England,Other years,2012/13,2565.000
Lithuania,England,All,2012/13,3775.000
Lithuania,Northern Ireland,First year,2016/17,0.000
Lithuania,Northern Ireland,Other years,2016/17,0.000
Lithuania,Northern Ireland,All,2016/17,0.000
Lithuania,Northern Ireland,First year,2015/16,5.000
Lithuania,Northern Ireland,Other years,2015/16,5.000
Lithuania,Northern Ireland,All,2015/16,5.000
Lithuania,Northern Ireland,First year,2014/15,5.000
Lithuania,Northern Ireland,Other years,2014/15,0.000
Lithuania,Northern Ireland,All,2014/15,5.000
Lithuania,Northern Ireland,First year,2013/14,0.000
Lithuania,Northern Ireland,Other years,2013/14,5.000
Lithuania,Northern Ireland,All,2013/14,5.000
Lithuania,Northern Ireland,First year,2012/13,5.000
Lithuania,Northern Ireland,Other years,2012/13,5.000
Lithuania,Northern Ireland,All,2012/13,5.000
Lithuania,Scotland,First year,2016/17,165.000
Lithuania,Scotland,Other years,2016/17,475.000
Lithuania,Scotland,All,2016/17,640.000
Lithuania,Scotland,First year,2015/16,175.000
Lithuania,Scotland,Other years,2015/16,645.000
Lithuania,Scotland,All,2015/16,820.000
Lithuania,Scotland,First year,2014/15,195.000
Lithuania,Scotland,Other years,2014/15,925.000
Lithuania,Scotland,All,2014/15,1120.000
Lithuania,Scotland,First year,2013/14,240.000
Lithuania,Scotland,Other years,2013/14,995.000
Lithuania,Scotland,All,2013/14,1240.000
Lithuania,Scotland,First year,2012/13,345.000
Lithuania,Scotland,Other years,2012/13,840.000
Lithuania,Scotland,All,2012/13,1180.000
Lithuania,Wales,First year,2016/17,30.000
Lithuania,Wales,Other years,2016/17,35.000
Lithuania,Wales,All,2016/17,65.000
Lithuania,Wales,First year,2015/16,20.000
Lithuania,Wales,Other years,2015/16,35.000
Lithuania,Wales,All,2015/16,55.000
Lithuania,Wales,First year,2014/15,30.000
Lithuania,Wales,Other years,2014/15,40.000
Lithuania,Wales,All,2014/15,70.000
Lithuania,Wales,First year,2013/14,20.000
Lithuania,Wales,Other years,2013/14,45.000
Lithuania,Wales,All,2013/14,65.000
Lithuania,Wales,First year,2012/13,30.000
Lithuania,Wales,Other years,2012/13,55.000
Lithuania,Wales,All,2012/13,85.000
Luxembourg,All,All,2016/17,1110.000
Luxembourg,All,First year,2016/17,435.000
Luxembourg,All,Other years,2016/17,675.000
Luxembourg,All,All,2015/16,1150.000
Luxembourg,All,First year,2015/16,475.000
Luxembourg,All,Other years,2015/16,675.000
Luxembourg,All,All,2014/15,1100.000
Luxembourg,All,First year,2014/15,485.000
Luxembourg,All,Other years,2014/15,615.000
Luxembourg,All,All,2013/14,1070.000
Luxembourg,All,First year,2013/14,465.000
Luxembourg,All,Other years,2013/14,605.000
Luxembourg,All,All,2012/13,1055.000
Luxembourg,All,First year,2012/13,445.000
Luxembourg,All,Other years,2012/13,610.000
Luxembourg,England,First year,2016/17,320.000
Luxembourg,England,Other years,2016/17,485.000
Luxembourg,England,All,2016/17,805.000
Luxembourg,England,First year,2015/16,370.000
Luxembourg,England,Other years,2015/16,485.000
Luxembourg,England,All,2015/16,855.000
Luxembourg,England,First year,2014/15,355.000
Luxembourg,England,Other years,2014/15,455.000
Luxembourg,England,All,2014/15,805.000
Luxembourg,England,First year,2013/14,355.000
Luxembourg,England,Other years,2013/14,480.000
Luxembourg,England,All,2013/14,835.000
Luxembourg,England,First year,2012/13,365.000
Luxembourg,England,Other years,2012/13,480.000
Luxembourg,England,All,2012/13,845.000
Luxembourg,Northern Ireland,First year,2016/17,0.000
Luxembourg,Northern Ireland,Other years,2016/17,0.000
Luxembourg,Northern Ireland,All,2016/17,5.000
Luxembourg,Northern Ireland,First year,2015/16,0.000
Luxembourg,Northern Ireland,Other years,2015/16,0.000
Luxembourg,Northern Ireland,All,2015/16,5.000
Luxembourg,Northern Ireland,First year,2014/15,0.000
Luxembourg,Northern Ireland,Other years,2014/15,0.000
Luxembourg,Northern Ireland,All,2014/15,0.000
